,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
406246,Greater Sydney,Middle Ring,Strathfield,House,Bedsitter,,,,2021-03-31
406247,Greater Sydney,Middle Ring,Strathfield,House,1 Bedroom,,,s,2021-03-31
406248,Greater Sydney,Middle Ring,Strathfield,House,Not Specified,,,s,2021-03-31
406249,Greater Sydney,Middle Ring,Strathfield,House,2 Bedrooms,430.0,s,115,2021-03-31
406250,Greater Sydney,Middle Ring,Strathfield,House,3 Bedrooms,690.0,s,280,2021-03-31
406251,Greater Sydney,Middle Ring,Strathfield,House,4 or more Bedrooms,780.0,s,261,2021-03-31
406252,Greater Sydney,Middle Ring,Strathfield,Other,Total,410.0,65,781,2021-03-31
406253,Greater Sydney,Middle Ring,Strathfield,Other,Bedsitter,,,,2021-03-31
406254,Greater Sydney,Middle Ring,Strathfield,Other,1 Bedroom,380.0,s,77,2021-03-31
406255,Greater Sydney,Middle Ring,Strathfield,Other,Not Specified,,,203,2021-03-31
406256,Greater Sydney,Middle Ring,Strathfield,Other,2 Bedrooms,450.0,44,399,2021-03-31
406257,Greater Sydney,Middle Ring,Strathfield,Other,3 Bedrooms,,,80,2021-03-31
406258,Greater Sydney,Middle Ring,Strathfield,Other,4 or more Bedrooms,,,s,2021-03-31
406259,Greater Sydney,Middle Ring,Strathfield,Townhouse,Total,580.0,s,220,2021-03-31
406260,Greater Sydney,Middle Ring,Strathfield,Townhouse,1 Bedroom,,,,2021-03-31
406261,Greater Sydney,Middle Ring,Strathfield,Townhouse,Not Specified,,,,2021-03-31
406262,Greater Sydney,Middle Ring,Strathfield,Townhouse,2 Bedrooms,,,53,2021-03-31
406263,Greater Sydney,Middle Ring,Strathfield,Townhouse,3 Bedrooms,,,110,2021-03-31
406264,Greater Sydney,Middle Ring,Strathfield,Townhouse,4 or more Bedrooms,,,46,2021-03-31
406265,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Total,430.0,683,4764,2021-03-31
406266,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Bedsitter,,,s,2021-03-31
406267,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,1 Bedroom,380.0,142,764,2021-03-31
406268,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Not Specified,,,73,2021-03-31
406269,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,2 Bedrooms,450.0,449,3278,2021-03-31
406270,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,3 Bedrooms,530.0,80,592,2021-03-31
406271,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,4 or more Bedrooms,,,s,2021-03-31
406279,Greater Sydney,Middle Ring,Willoughby,House,Total,970.0,201,1770,2021-03-31
406280,Greater Sydney,Middle Ring,Willoughby,House,Bedsitter,,,s,2021-03-31
406281,Greater Sydney,Middle Ring,Willoughby,House,1 Bedroom,,,51,2021-03-31
406282,Greater Sydney,Middle Ring,Willoughby,House,Not Specified,,,53,2021-03-31
406283,Greater Sydney,Middle Ring,Willoughby,House,2 Bedrooms,588.0,s,231,2021-03-31
406284,Greater Sydney,Middle Ring,Willoughby,House,3 Bedrooms,900.0,83,683,2021-03-31
406285,Greater Sydney,Middle Ring,Willoughby,House,4 or more Bedrooms,1250.0,81,723,2021-03-31
406286,Greater Sydney,Middle Ring,Willoughby,Other,Total,430.0,s,447,2021-03-31
406287,Greater Sydney,Middle Ring,Willoughby,Other,Bedsitter,,,s,2021-03-31
406288,Greater Sydney,Middle Ring,Willoughby,Other,1 Bedroom,340.0,s,97,2021-03-31
406289,Greater Sydney,Middle Ring,Willoughby,Other,Not Specified,,,129,2021-03-31
406290,Greater Sydney,Middle Ring,Willoughby,Other,2 Bedrooms,,,143,2021-03-31
406291,Greater Sydney,Middle Ring,Willoughby,Other,3 Bedrooms,,,49,2021-03-31
406292,Greater Sydney,Middle Ring,Willoughby,Other,4 or more Bedrooms,,,s,2021-03-31
406293,Greater Sydney,Middle Ring,Willoughby,Townhouse,Total,728.0,38,417,2021-03-31
406294,Greater Sydney,Middle Ring,Willoughby,Townhouse,1 Bedroom,,,s,2021-03-31
406295,Greater Sydney,Middle Ring,Willoughby,Townhouse,Not Specified,,,,2021-03-31
406296,Greater Sydney,Middle Ring,Willoughby,Townhouse,2 Bedrooms,608.0,s,175,2021-03-31
406297,Greater Sydney,Middle Ring,Willoughby,Townhouse,3 Bedrooms,780.0,s,178,2021-03-31
406298,Greater Sydney,Middle Ring,Willoughby,Townhouse,4 or more Bedrooms,,,s,2021-03-31
406299,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Total,510.0,1016,7160,2021-03-31
406300,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Bedsitter,350.0,34,175,2021-03-31
406301,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,1 Bedroom,450.0,348,2282,2021-03-31
406302,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Not Specified,,,199,2021-03-31
406303,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,2 Bedrooms,550.0,517,3693,2021-03-31
406304,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,3 Bedrooms,793.0,110,778,2021-03-31
406305,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,4 or more Bedrooms,,,33,2021-03-31
406348,Greater Sydney,Outer Ring,Blacktown,House,Total,480.0,1790,21024,2021-03-31
406349,Greater Sydney,Outer Ring,Blacktown,House,Bedsitter,,,s,2021-03-31
406350,Greater Sydney,Outer Ring,Blacktown,House,1 Bedroom,250.0,s,212,2021-03-31
406351,Greater Sydney,Outer Ring,Blacktown,House,Not Specified,,,623,2021-03-31
406352,Greater Sydney,Outer Ring,Blacktown,House,2 Bedrooms,360.0,216,1841,2021-03-31
406353,Greater Sydney,Outer Ring,Blacktown,House,3 Bedrooms,430.0,800,10147,2021-03-31
406354,Greater Sydney,Outer Ring,Blacktown,House,4 or more Bedrooms,600.0,736,8175,2021-03-31
406355,Greater Sydney,Outer Ring,Blacktown,Other,Total,370.0,188,3382,2021-03-31
406356,Greater Sydney,Outer Ring,Blacktown,Other,Bedsitter,,,s,2021-03-31
406357,Greater Sydney,Outer Ring,Blacktown,Other,1 Bedroom,280.0,s,312,2021-03-31
406358,Greater Sydney,Outer Ring,Blacktown,Other,Not Specified,420.0,54,1268,2021-03-31
406359,Greater Sydney,Outer Ring,Blacktown,Other,2 Bedrooms,360.0,73,744,2021-03-31
406360,Greater Sydney,Outer Ring,Blacktown,Other,3 Bedrooms,393.0,s,758,2021-03-31
406361,Greater Sydney,Outer Ring,Blacktown,Other,4 or more Bedrooms,570.0,s,279,2021-03-31
406362,Greater Sydney,Outer Ring,Blacktown,Townhouse,Total,450.0,272,3214,2021-03-31
406363,Greater Sydney,Outer Ring,Blacktown,Townhouse,Bedsitter,,,,2021-03-31
406364,Greater Sydney,Outer Ring,Blacktown,Townhouse,1 Bedroom,,,50,2021-03-31
406365,Greater Sydney,Outer Ring,Blacktown,Townhouse,Not Specified,,,103,2021-03-31
406366,Greater Sydney,Outer Ring,Blacktown,Townhouse,2 Bedrooms,390.0,67,520,2021-03-31
406367,Greater Sydney,Outer Ring,Blacktown,Townhouse,3 Bedrooms,450.0,141,1860,2021-03-31
406368,Greater Sydney,Outer Ring,Blacktown,Townhouse,4 or more Bedrooms,540.0,59,679,2021-03-31
406369,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Total,380.0,679,5515,2021-03-31
406370,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Bedsitter,,,s,2021-03-31
406371,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,1 Bedroom,335.0,96,787,2021-03-31
406372,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Not Specified,,,122,2021-03-31
406373,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,2 Bedrooms,380.0,500,3959,2021-03-31
406374,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,3 Bedrooms,480.0,71,583,2021-03-31
406375,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,4 or more Bedrooms,,,44,2021-03-31
406383,Greater Sydney,Outer Ring,Blue Mountains,House,Total,480.0,291,3594,2021-03-31
406384,Greater Sydney,Outer Ring,Blue Mountains,House,Bedsitter,,,,2021-03-31
406385,Greater Sydney,Outer Ring,Blue Mountains,House,1 Bedroom,,,101,2021-03-31
406386,Greater Sydney,Outer Ring,Blue Mountains,House,Not Specified,,,61,2021-03-31
406387,Greater Sydney,Outer Ring,Blue Mountains,House,2 Bedrooms,410.0,43,624,2021-03-31
406388,Greater Sydney,Outer Ring,Blue Mountains,House,3 Bedrooms,480.0,169,1980,2021-03-31
406389,Greater Sydney,Outer Ring,Blue Mountains,House,4 or more Bedrooms,590.0,69,827,2021-03-31
406390,Greater Sydney,Outer Ring,Blue Mountains,Other,Total,,,244,2021-03-31
406391,Greater Sydney,Outer Ring,Blue Mountains,Other,Bedsitter,,,,2021-03-31
406392,Greater Sydney,Outer Ring,Blue Mountains,Other,1 Bedroom,,,32,2021-03-31
406393,Greater Sydney,Outer Ring,Blue Mountains,Other,Not Specified,,,65,2021-03-31
406394,Greater Sydney,Outer Ring,Blue Mountains,Other,2 Bedrooms,,,55,2021-03-31
406395,Greater Sydney,Outer Ring,Blue Mountains,Other,3 Bedrooms,,,73,2021-03-31
406396,Greater Sydney,Outer Ring,Blue Mountains,Other,4 or more Bedrooms,,,s,2021-03-31
406397,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Total,450.0,s,299,2021-03-31
406398,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Bedsitter,,,,2021-03-31
406399,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,1 Bedroom,,,s,2021-03-31
406400,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Not Specified,,,,2021-03-31
406401,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,2 Bedrooms,,,117,2021-03-31
406402,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,3 Bedrooms,480.0,s,145,2021-03-31
406403,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,4 or more Bedrooms,,,s,2021-03-31
406404,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Total,370.0,57,724,2021-03-31
406405,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Bedsitter,,,,2021-03-31
406406,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,1 Bedroom,305.0,s,286,2021-03-31
406407,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Not Specified,,,34,2021-03-31
406408,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,2 Bedrooms,395.0,s,333,2021-03-31
406409,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,3 Bedrooms,,,55,2021-03-31
406410,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,4 or more Bedrooms,,,,2021-03-31
406418,Greater Sydney,Outer Ring,Camden,House,Total,540.0,545,6501,2021-03-31
406419,Greater Sydney,Outer Ring,Camden,House,Bedsitter,,,,2021-03-31
406420,Greater Sydney,Outer Ring,Camden,House,1 Bedroom,350.0,s,124,2021-03-31
406421,Greater Sydney,Outer Ring,Camden,House,Not Specified,,,193,2021-03-31
406422,Greater Sydney,Outer Ring,Camden,House,2 Bedrooms,380.0,37,221,2021-03-31
406423,Greater Sydney,Outer Ring,Camden,House,3 Bedrooms,483.0,124,1558,2021-03-31
406424,Greater Sydney,Outer Ring,Camden,House,4 or more Bedrooms,560.0,356,4398,2021-03-31
406425,Greater Sydney,Outer Ring,Camden,Other,Total,370.0,s,453,2021-03-31
406426,Greater Sydney,Outer Ring,Camden,Other,Bedsitter,,,,2021-03-31
406427,Greater Sydney,Outer Ring,Camden,Other,1 Bedroom,,,45,2021-03-31
406428,Greater Sydney,Outer Ring,Camden,Other,Not Specified,,,139,2021-03-31
406429,Greater Sydney,Outer Ring,Camden,Other,2 Bedrooms,,,98,2021-03-31
406430,Greater Sydney,Outer Ring,Camden,Other,3 Bedrooms,,,78,2021-03-31
406431,Greater Sydney,Outer Ring,Camden,Other,4 or more Bedrooms,,,87,2021-03-31
406432,Greater Sydney,Outer Ring,Camden,Townhouse,Total,490.0,31,332,2021-03-31
406433,Greater Sydney,Outer Ring,Camden,Townhouse,1 Bedroom,,,36,2021-03-31
406434,Greater Sydney,Outer Ring,Camden,Townhouse,Not Specified,,,s,2021-03-31
406435,Greater Sydney,Outer Ring,Camden,Townhouse,2 Bedrooms,,,82,2021-03-31
406436,Greater Sydney,Outer Ring,Camden,Townhouse,3 Bedrooms,,,129,2021-03-31
406437,Greater Sydney,Outer Ring,Camden,Townhouse,4 or more Bedrooms,,,73,2021-03-31
406438,Greater Sydney,Outer Ring,Camden,Flat/Unit,Total,350.0,69,470,2021-03-31
406439,Greater Sydney,Outer Ring,Camden,Flat/Unit,Bedsitter,,,,2021-03-31
406440,Greater Sydney,Outer Ring,Camden,Flat/Unit,1 Bedroom,313.0,s,177,2021-03-31
406441,Greater Sydney,Outer Ring,Camden,Flat/Unit,Not Specified,,,s,2021-03-31
406442,Greater Sydney,Outer Ring,Camden,Flat/Unit,2 Bedrooms,370.0,36,229,2021-03-31
406443,Greater Sydney,Outer Ring,Camden,Flat/Unit,3 Bedrooms,,,s,2021-03-31
406444,Greater Sydney,Outer Ring,Camden,Flat/Unit,4 or more Bedrooms,,,s,2021-03-31
406452,Greater Sydney,Outer Ring,Campbelltown,House,Total,450.0,677,8808,2021-03-31
406453,Greater Sydney,Outer Ring,Campbelltown,House,Bedsitter,,,,2021-03-31
406454,Greater Sydney,Outer Ring,Campbelltown,House,1 Bedroom,280.0,s,76,2021-03-31
406455,Greater Sydney,Outer Ring,Campbelltown,House,Not Specified,,,379,2021-03-31
406456,Greater Sydney,Outer Ring,Campbelltown,House,2 Bedrooms,350.0,74,701,2021-03-31
406457,Greater Sydney,Outer Ring,Campbelltown,House,3 Bedrooms,420.0,349,4742,2021-03-31
406458,Greater Sydney,Outer Ring,Campbelltown,House,4 or more Bedrooms,550.0,241,2900,2021-03-31
406459,Greater Sydney,Outer Ring,Campbelltown,Other,Total,350.0,82,1704,2021-03-31
406460,Greater Sydney,Outer Ring,Campbelltown,Other,Bedsitter,,,s,2021-03-31
406461,Greater Sydney,Outer Ring,Campbelltown,Other,1 Bedroom,283.0,s,134,2021-03-31
406462,Greater Sydney,Outer Ring,Campbelltown,Other,Not Specified,,,613,2021-03-31
406463,Greater Sydney,Outer Ring,Campbelltown,Other,2 Bedrooms,350.0,38,511,2021-03-31
406464,Greater Sydney,Outer Ring,Campbelltown,Other,3 Bedrooms,400.0,s,327,2021-03-31
406465,Greater Sydney,Outer Ring,Campbelltown,Other,4 or more Bedrooms,,,102,2021-03-31
406466,Greater Sydney,Outer Ring,Campbelltown,Townhouse,Total,380.0,119,1721,2021-03-31
406467,Greater Sydney,Outer Ring,Campbelltown,Townhouse,Bedsitter,,,,2021-03-31
406468,Greater Sydney,Outer Ring,Campbelltown,Townhouse,1 Bedroom,,,s,2021-03-31
406469,Greater Sydney,Outer Ring,Campbelltown,Townhouse,Not Specified,,,47,2021-03-31
406470,Greater Sydney,Outer Ring,Campbelltown,Townhouse,2 Bedrooms,360.0,54,787,2021-03-31
406471,Greater Sydney,Outer Ring,Campbelltown,Townhouse,3 Bedrooms,400.0,49,725,2021-03-31
406472,Greater Sydney,Outer Ring,Campbelltown,Townhouse,4 or more Bedrooms,540.0,s,134,2021-03-31
406473,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,Total,365.0,253,2200,2021-03-31
406474,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,Bedsitter,,,,2021-03-31
406475,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,1 Bedroom,300.0,40,261,2021-03-31
406476,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,Not Specified,,,55,2021-03-31
406477,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,2 Bedrooms,370.0,187,1604,2021-03-31
406478,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,3 Bedrooms,430.0,s,258,2021-03-31
406479,Greater Sydney,Outer Ring,Campbelltown,Flat/Unit,4 or more Bedrooms,,,s,2021-03-31
406487,Greater Sydney,Outer Ring,Central Coast,House,Total,490.0,1421,18864,2021-03-31
406488,Greater Sydney,Outer Ring,Central Coast,House,Bedsitter,,,42,2021-03-31
406489,Greater Sydney,Outer Ring,Central Coast,House,1 Bedroom,300.0,71,474,2021-03-31
406490,Greater Sydney,Outer Ring,Central Coast,House,Not Specified,,,758,2021-03-31
406491,Greater Sydney,Outer Ring,Central Coast,House,2 Bedrooms,395.0,297,3648,2021-03-31
406492,Greater Sydney,Outer Ring,Central Coast,House,3 Bedrooms,480.0,609,8635,2021-03-31
406493,Greater Sydney,Outer Ring,Central Coast,House,4 or more Bedrooms,610.0,433,5307,2021-03-31
406494,Greater Sydney,Outer Ring,Central Coast,Other,Total,325.0,82,2586,2021-03-31
406495,Greater Sydney,Outer Ring,Central Coast,Other,Bedsitter,,,38,2021-03-31
406496,Greater Sydney,Outer Ring,Central Coast,Other,1 Bedroom,270.0,37,669,2021-03-31
406497,Greater Sydney,Outer Ring,Central Coast,Other,Not Specified,,,705,2021-03-31
406498,Greater Sydney,Outer Ring,Central Coast,Other,2 Bedrooms,380.0,s,605,2021-03-31
406499,Greater Sydney,Outer Ring,Central Coast,Other,3 Bedrooms,438.0,s,441,2021-03-31
406500,Greater Sydney,Outer Ring,Central Coast,Other,4 or more Bedrooms,,,128,2021-03-31
406501,Greater Sydney,Outer Ring,Central Coast,Townhouse,Total,480.0,207,3027,2021-03-31
406502,Greater Sydney,Outer Ring,Central Coast,Townhouse,Bedsitter,,,,2021-03-31
406503,Greater Sydney,Outer Ring,Central Coast,Townhouse,1 Bedroom,,,51,2021-03-31
406504,Greater Sydney,Outer Ring,Central Coast,Townhouse,Not Specified,,,86,2021-03-31
406505,Greater Sydney,Outer Ring,Central Coast,Townhouse,2 Bedrooms,400.0,51,806,2021-03-31
406506,Greater Sydney,Outer Ring,Central Coast,Townhouse,3 Bedrooms,500.0,138,1926,2021-03-31
406507,Greater Sydney,Outer Ring,Central Coast,Townhouse,4 or more Bedrooms,,,155,2021-03-31
406508,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,Total,400.0,636,7597,2021-03-31
406509,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,Bedsitter,,,60,2021-03-31
406510,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,1 Bedroom,320.0,159,1542,2021-03-31
406511,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,Not Specified,,,288,2021-03-31
406512,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,2 Bedrooms,400.0,381,4518,2021-03-31
406513,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,3 Bedrooms,485.0,86,1133,2021-03-31
406514,Greater Sydney,Outer Ring,Central Coast,Flat/Unit,4 or more Bedrooms,,,56,2021-03-31
406522,Greater Sydney,Outer Ring,Fairfield,House,Total,480.0,429,7209,2021-03-31
406523,Greater Sydney,Outer Ring,Fairfield,House,Bedsitter,,,,2021-03-31
406524,Greater Sydney,Outer Ring,Fairfield,House,1 Bedroom,,,80,2021-03-31
406525,Greater Sydney,Outer Ring,Fairfield,House,Not Specified,,,253,2021-03-31
406526,Greater Sydney,Outer Ring,Fairfield,House,2 Bedrooms,390.0,57,680,2021-03-31
406527,Greater Sydney,Outer Ring,Fairfield,House,3 Bedrooms,465.0,235,4082,2021-03-31
406528,Greater Sydney,Outer Ring,Fairfield,House,4 or more Bedrooms,600.0,117,2109,2021-03-31
406529,Greater Sydney,Outer Ring,Fairfield,Other,Total,380.0,195,2878,2021-03-31
406530,Greater Sydney,Outer Ring,Fairfield,Other,Bedsitter,,,s,2021-03-31
406531,Greater Sydney,Outer Ring,Fairfield,Other,1 Bedroom,220.0,s,348,2021-03-31
406532,Greater Sydney,Outer Ring,Fairfield,Other,Not Specified,400.0,s,477,2021-03-31
406533,Greater Sydney,Outer Ring,Fairfield,Other,2 Bedrooms,360.0,83,1023,2021-03-31
406534,Greater Sydney,Outer Ring,Fairfield,Other,3 Bedrooms,450.0,42,762,2021-03-31
406535,Greater Sydney,Outer Ring,Fairfield,Other,4 or more Bedrooms,650.0,s,257,2021-03-31
406536,Greater Sydney,Outer Ring,Fairfield,Townhouse,Total,460.0,98,1690,2021-03-31
406537,Greater Sydney,Outer Ring,Fairfield,Townhouse,Bedsitter,,,,2021-03-31
406538,Greater Sydney,Outer Ring,Fairfield,Townhouse,1 Bedroom,,,37,2021-03-31
406539,Greater Sydney,Outer Ring,Fairfield,Townhouse,Not Specified,,,49,2021-03-31
406540,Greater Sydney,Outer Ring,Fairfield,Townhouse,2 Bedrooms,360.0,s,365,2021-03-31
406541,Greater Sydney,Outer Ring,Fairfield,Townhouse,3 Bedrooms,460.0,59,1011,2021-03-31
406542,Greater Sydney,Outer Ring,Fairfield,Townhouse,4 or more Bedrooms,650.0,s,227,2021-03-31
406543,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,Total,330.0,305,4722,2021-03-31
406544,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,Bedsitter,,,s,2021-03-31
406545,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,1 Bedroom,280.0,52,642,2021-03-31
406546,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,Not Specified,,,165,2021-03-31
406547,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,2 Bedrooms,330.0,203,3407,2021-03-31
406548,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,3 Bedrooms,450.0,32,462,2021-03-31
406549,Greater Sydney,Outer Ring,Fairfield,Flat/Unit,4 or more Bedrooms,,,s,2021-03-31
406557,Greater Sydney,Outer Ring,Hawkesbury,House,Total,475.0,231,2913,2021-03-31
406558,Greater Sydney,Outer Ring,Hawkesbury,House,Bedsitter,,,,2021-03-31
406559,Greater Sydney,Outer Ring,Hawkesbury,House,1 Bedroom,,,41,2021-03-31
406560,Greater Sydney,Outer Ring,Hawkesbury,House,Not Specified,,,84,2021-03-31
406561,Greater Sydney,Outer Ring,Hawkesbury,House,2 Bedrooms,370.0,31,307,2021-03-31
406562,Greater Sydney,Outer Ring,Hawkesbury,House,3 Bedrooms,460.0,129,1616,2021-03-31
406563,Greater Sydney,Outer Ring,Hawkesbury,House,4 or more Bedrooms,598.0,64,858,2021-03-31
406564,Greater Sydney,Outer Ring,Hawkesbury,Other,Total,365.0,s,408,2021-03-31
406565,Greater Sydney,Outer Ring,Hawkesbury,Other,Bedsitter,,,,2021-03-31
406566,Greater Sydney,Outer Ring,Hawkesbury,Other,1 Bedroom,,,78,2021-03-31
406567,Greater Sydney,Outer Ring,Hawkesbury,Other,Not Specified,,,78,2021-03-31
406568,Greater Sydney,Outer Ring,Hawkesbury,Other,2 Bedrooms,,,79,2021-03-31
406569,Greater Sydney,Outer Ring,Hawkesbury,Other,3 Bedrooms,,,131,2021-03-31
406570,Greater Sydney,Outer Ring,Hawkesbury,Other,4 or more Bedrooms,,,35,2021-03-31
406571,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,Total,435.0,39,548,2021-03-31
406572,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,1 Bedroom,,,,2021-03-31
406573,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,Not Specified,,,s,2021-03-31
406574,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,2 Bedrooms,388.0,s,153,2021-03-31
406575,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,3 Bedrooms,450.0,s,334,2021-03-31
406576,Greater Sydney,Outer Ring,Hawkesbury,Townhouse,4 or more Bedrooms,,,46,2021-03-31
406577,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,Total,335.0,66,692,2021-03-31
406578,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,Bedsitter,,,,2021-03-31
406579,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,1 Bedroom,280.0,s,170,2021-03-31
406580,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,Not Specified,,,s,2021-03-31
406581,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,2 Bedrooms,355.0,40,405,2021-03-31
406582,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,3 Bedrooms,,,91,2021-03-31
406583,Greater Sydney,Outer Ring,Hawkesbury,Flat/Unit,4 or more Bedrooms,,,,2021-03-31
406591,Greater Sydney,Outer Ring,Hornsby,House,Total,680.0,332,3816,2021-03-31
406592,Greater Sydney,Outer Ring,Hornsby,House,Bedsitter,,,,2021-03-31
406593,Greater Sydney,Outer Ring,Hornsby,House,1 Bedroom,358.0,s,95,2021-03-31
406594,Greater Sydney,Outer Ring,Hornsby,House,Not Specified,,,138,2021-03-31
406595,Greater Sydney,Outer Ring,Hornsby,House,2 Bedrooms,495.0,43,363,2021-03-31
406596,Greater Sydney,Outer Ring,Hornsby,House,3 Bedrooms,640.0,106,1438,2021-03-31
406597,Greater Sydney,Outer Ring,Hornsby,House,4 or more Bedrooms,800.0,163,1775,2021-03-31
406598,Greater Sydney,Outer Ring,Hornsby,Other,Total,420.0,s,855,2021-03-31
406599,Greater Sydney,Outer Ring,Hornsby,Other,Bedsitter,,,s,2021-03-31
406600,Greater Sydney,Outer Ring,Hornsby,Other,1 Bedroom,,,85,2021-03-31
406601,Greater Sydney,Outer Ring,Hornsby,Other,Not Specified,,,394,2021-03-31
406602,Greater Sydney,Outer Ring,Hornsby,Other,2 Bedrooms,,,192,2021-03-31
406603,Greater Sydney,Outer Ring,Hornsby,Other,3 Bedrooms,,,112,2021-03-31
406604,Greater Sydney,Outer Ring,Hornsby,Other,4 or more Bedrooms,,,55,2021-03-31
406605,Greater Sydney,Outer Ring,Hornsby,Townhouse,Total,628.0,68,794,2021-03-31
406606,Greater Sydney,Outer Ring,Hornsby,Townhouse,Bedsitter,,,,2021-03-31
406607,Greater Sydney,Outer Ring,Hornsby,Townhouse,1 Bedroom,,,s,2021-03-31
406608,Greater Sydney,Outer Ring,Hornsby,Townhouse,Not Specified,,,s,2021-03-31
406609,Greater Sydney,Outer Ring,Hornsby,Townhouse,2 Bedrooms,450.0,s,160,2021-03-31
406610,Greater Sydney,Outer Ring,Hornsby,Townhouse,3 Bedrooms,640.0,47,504,2021-03-31
406611,Greater Sydney,Outer Ring,Hornsby,Townhouse,4 or more Bedrooms,,,88,2021-03-31
406612,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,Total,430.0,686,5282,2021-03-31
406613,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,Bedsitter,,,42,2021-03-31
406614,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,1 Bedroom,380.0,184,1191,2021-03-31
406615,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,Not Specified,410.0,s,193,2021-03-31
406616,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,2 Bedrooms,450.0,418,3422,2021-03-31
406617,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,3 Bedrooms,580.0,48,418,2021-03-31
406618,Greater Sydney,Outer Ring,Hornsby,Flat/Unit,4 or more Bedrooms,,,s,2021-03-31
406626,Greater Sydney,Outer Ring,Liverpool,House,Total,525.0,659,8801,2021-03-31
406627,Greater Sydney,Outer Ring,Liverpool,House,Bedsitter,,,s,2021-03-31
406628,Greater Sydney,Outer Ring,Liverpool,House,1 Bedroom,,,88,2021-03-31
406629,Greater Sydney,Outer Ring,Liverpool,House,Not Specified,590.0,s,308,2021-03-31
406630,Greater Sydney,Outer Ring,Liverpool,House,2 Bedrooms,370.0,74,602,2021-03-31
