,greatersydney,rings,lga,dwellingtype,sales_price_median,sales_price_mean,sales_no,date
3664,Greater Sydney,Outer Ring,Central Coast,Strata,500.0,528.0,289.0,2018-06-30
3666,Greater Sydney,Outer Ring,Fairfield,Non Strata,789.0,802.0,276.0,2018-06-30
3667,Greater Sydney,Outer Ring,Fairfield,Strata,438.0,466.0,93.0,2018-06-30
3669,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,743.0,858.0,152.0,2018-06-30
3670,Greater Sydney,Outer Ring,Hawkesbury,Strata,535.0,524.0,38.0,2018-06-30
3672,Greater Sydney,Outer Ring,Hornsby,Non Strata,1300.0,1360.0,244.0,2018-06-30
3673,Greater Sydney,Outer Ring,Hornsby,Strata,698.0,736.0,162.0,2018-06-30
3675,Greater Sydney,Outer Ring,Liverpool,Non Strata,788.0,814.0,348.0,2018-06-30
3676,Greater Sydney,Outer Ring,Liverpool,Strata,520.0,505.0,134.0,2018-06-30
3678,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1700.0,1908.0,432.0,2018-06-30
3679,Greater Sydney,Outer Ring,Northern Beaches,Strata,866.0,961.0,401.0,2018-06-30
3681,Greater Sydney,Outer Ring,Penrith,Non Strata,691.0,714.0,464.0,2018-06-30
3682,Greater Sydney,Outer Ring,Penrith,Strata,511.0,497.0,162.0,2018-06-30
3684,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1200.0,1290.0,415.0,2018-06-30
3685,Greater Sydney,Outer Ring,Sutherland Shire,Strata,770.0,860.0,367.0,2018-06-30
3687,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1257.0,1345.0,345.0,2018-06-30
3688,Greater Sydney,Outer Ring,The Hills Shire,Strata,783.0,786.0,86.0,2018-06-30
3690,Greater Sydney,Outer Ring,Wollondilly,Non Strata,815.0,861.0,118.0,2018-06-30
3691,Greater Sydney,Outer Ring,Wollondilly,Strata,535.0,,5.0,2018-06-30
6382,Greater Sydney,Inner Ring,Inner West,Non Strata,1371.0,1437.0,232.0,2018-09-30
6383,Greater Sydney,Inner Ring,Inner West,Strata,735.0,776.0,201.0,2018-09-30
6385,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2650.0,2589.0,36.0,2018-09-30
6386,Greater Sydney,Inner Ring,Lane Cove,Strata,745.0,804.0,97.0,2018-09-30
6388,Greater Sydney,Inner Ring,Mosman,Non Strata,3675.0,4358.0,36.0,2018-09-30
6389,Greater Sydney,Inner Ring,Mosman,Strata,900.0,1099.0,70.0,2018-09-30
6391,Greater Sydney,Inner Ring,North Sydney,Non Strata,2278.0,2642.0,42.0,2018-09-30
6392,Greater Sydney,Inner Ring,North Sydney,Strata,1070.0,1247.0,234.0,2018-09-30
6394,Greater Sydney,Inner Ring,Randwick,Non Strata,1845.0,2025.0,88.0,2018-09-30
6395,Greater Sydney,Inner Ring,Randwick,Strata,862.0,923.0,157.0,2018-09-30
6397,Greater Sydney,Inner Ring,Sydney,Non Strata,1411.0,1516.0,124.0,2018-09-30
6398,Greater Sydney,Inner Ring,Sydney,Strata,850.0,968.0,531.0,2018-09-30
6400,Greater Sydney,Inner Ring,Waverley,Non Strata,2350.0,2618.0,67.0,2018-09-30
6401,Greater Sydney,Inner Ring,Waverley,Strata,1070.0,1159.0,159.0,2018-09-30
6403,Greater Sydney,Inner Ring,Woollahra,Non Strata,3600.0,4789.0,51.0,2018-09-30
6404,Greater Sydney,Inner Ring,Woollahra,Strata,1213.0,1409.0,122.0,2018-09-30
6409,Greater Sydney,Middle Ring,Bayside,Non Strata,1195.0,1219.0,111.0,2018-09-30
6410,Greater Sydney,Middle Ring,Bayside,Strata,700.0,719.0,215.0,2018-09-30
6412,Greater Sydney,Middle Ring,Burwood,Non Strata,1500.0,1515.0,35.0,2018-09-30
6413,Greater Sydney,Middle Ring,Burwood,Strata,750.0,779.0,37.0,2018-09-30
6415,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1705.0,1873.0,54.0,2018-09-30
6416,Greater Sydney,Middle Ring,Canada Bay,Strata,880.0,930.0,139.0,2018-09-30
6418,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,870.0,914.0,308.0,2018-09-30
6419,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,530.0,540.0,210.0,2018-09-30
6421,Greater Sydney,Middle Ring,Cumberland,Non Strata,800.0,823.0,165.0,2018-09-30
6422,Greater Sydney,Middle Ring,Cumberland,Strata,550.0,538.0,147.0,2018-09-30
6424,Greater Sydney,Middle Ring,Georges River,Non Strata,1178.0,1266.0,136.0,2018-09-30
6425,Greater Sydney,Middle Ring,Georges River,Strata,695.0,708.0,110.0,2018-09-30
6427,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2875.0,2994.0,20.0,2018-09-30
6428,Greater Sydney,Middle Ring,Hunters Hill,Strata,877.0,970.0,20.0,2018-09-30
6430,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2050.0,2164.0,180.0,2018-09-30
6431,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,905.0,985.0,108.0,2018-09-30
6433,Greater Sydney,Middle Ring,Parramatta,Non Strata,1123.0,1281.0,184.0,2018-09-30
6434,Greater Sydney,Middle Ring,Parramatta,Strata,653.0,650.0,270.0,2018-09-30
6436,Greater Sydney,Middle Ring,Ryde,Non Strata,1435.0,1498.0,90.0,2018-09-30
6437,Greater Sydney,Middle Ring,Ryde,Strata,700.0,742.0,171.0,2018-09-30
6439,Greater Sydney,Middle Ring,Strathfield,Non Strata,1425.0,1552.0,20.0,2018-09-30
6440,Greater Sydney,Middle Ring,Strathfield,Strata,628.0,623.0,46.0,2018-09-30
6442,Greater Sydney,Middle Ring,Willoughby,Non Strata,2240.0,2320.0,72.0,2018-09-30
6443,Greater Sydney,Middle Ring,Willoughby,Strata,998.0,1062.0,86.0,2018-09-30
6448,Greater Sydney,Outer Ring,Blacktown,Non Strata,720.0,730.0,522.0,2018-09-30
6449,Greater Sydney,Outer Ring,Blacktown,Strata,538.0,533.0,104.0,2018-09-30
6451,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,630.0,650.0,199.0,2018-09-30
6452,Greater Sydney,Outer Ring,Blue Mountains,Strata,516.5,,5.0,2018-09-30
6454,Greater Sydney,Outer Ring,Camden,Non Strata,720.0,739.0,233.0,2018-09-30
6455,Greater Sydney,Outer Ring,Camden,Strata,540.0,552.0,20.0,2018-09-30
6457,Greater Sydney,Outer Ring,Campbelltown,Non Strata,600.0,603.0,262.0,2018-09-30
6458,Greater Sydney,Outer Ring,Campbelltown,Strata,429.0,431.0,59.0,2018-09-30
6460,Greater Sydney,Outer Ring,Central Coast,Non Strata,630.0,676.0,825.0,2018-09-30
6461,Greater Sydney,Outer Ring,Central Coast,Strata,495.0,513.0,233.0,2018-09-30
6463,Greater Sydney,Outer Ring,Fairfield,Non Strata,730.0,749.0,150.0,2018-09-30
6464,Greater Sydney,Outer Ring,Fairfield,Strata,450.0,449.0,45.0,2018-09-30
6466,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,770.0,917.0,99.0,2018-09-30
6467,Greater Sydney,Outer Ring,Hawkesbury,Strata,495.0,475.0,20.0,2018-09-30
6469,Greater Sydney,Outer Ring,Hornsby,Non Strata,1193.0,1220.0,198.0,2018-09-30
6470,Greater Sydney,Outer Ring,Hornsby,Strata,670.0,709.0,90.0,2018-09-30
6472,Greater Sydney,Outer Ring,Liverpool,Non Strata,750.0,769.0,215.0,2018-09-30
6473,Greater Sydney,Outer Ring,Liverpool,Strata,492.0,481.0,70.0,2018-09-30
6475,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1650.0,1837.0,360.0,2018-09-30
6476,Greater Sydney,Outer Ring,Northern Beaches,Strata,860.0,932.0,312.0,2018-09-30
6478,Greater Sydney,Outer Ring,Penrith,Non Strata,660.0,688.0,355.0,2018-09-30
6479,Greater Sydney,Outer Ring,Penrith,Strata,490.0,476.0,105.0,2018-09-30
6481,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1080.0,1187.0,292.0,2018-09-30
6482,Greater Sydney,Outer Ring,Sutherland Shire,Strata,745.0,1654.0,265.0,2018-09-30
6484,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1177.0,1278.0,249.0,2018-09-30
6485,Greater Sydney,Outer Ring,The Hills Shire,Strata,794.0,780.0,48.0,2018-09-30
6487,Greater Sydney,Outer Ring,Wollondilly,Non Strata,663.0,776.0,90.0,2018-09-30
6488,Greater Sydney,Outer Ring,Wollondilly,Strata,516.5,,5.0,2018-09-30
9161,Greater Sydney,Inner Ring,Inner West,Non Strata,1380.0,1458.0,331.0,2018-12-31
9162,Greater Sydney,Inner Ring,Inner West,Strata,738.0,780.0,253.0,2018-12-31
9164,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2650.0,2585.0,50.0,2018-12-31
9165,Greater Sydney,Inner Ring,Lane Cove,Strata,745.0,820.0,112.0,2018-12-31
9167,Greater Sydney,Inner Ring,Mosman,Non Strata,3700.0,4565.0,45.0,2018-12-31
9168,Greater Sydney,Inner Ring,Mosman,Strata,915.0,1172.0,87.0,2018-12-31
9170,Greater Sydney,Inner Ring,North Sydney,Non Strata,2278.0,2574.0,54.0,2018-12-31
9171,Greater Sydney,Inner Ring,North Sydney,Strata,1070.0,1259.0,276.0,2018-12-31
9173,Greater Sydney,Inner Ring,Randwick,Non Strata,1961.0,2112.0,135.0,2018-12-31
9174,Greater Sydney,Inner Ring,Randwick,Strata,865.0,934.0,187.0,2018-12-31
9176,Greater Sydney,Inner Ring,Sydney,Non Strata,1470.0,1574.0,163.0,2018-12-31
9177,Greater Sydney,Inner Ring,Sydney,Strata,870.0,1000.0,682.0,2018-12-31
9179,Greater Sydney,Inner Ring,Waverley,Non Strata,2568.0,2712.0,90.0,2018-12-31
9180,Greater Sydney,Inner Ring,Waverley,Strata,1105.0,1156.0,198.0,2018-12-31
9182,Greater Sydney,Inner Ring,Woollahra,Non Strata,4258.0,5165.0,96.0,2018-12-31
9183,Greater Sydney,Inner Ring,Woollahra,Strata,1260.0,1577.0,159.0,2018-12-31
9188,Greater Sydney,Middle Ring,Bayside,Non Strata,1183.0,1222.0,146.0,2018-12-31
9189,Greater Sydney,Middle Ring,Bayside,Strata,694.0,709.0,288.0,2018-12-31
9191,Greater Sydney,Middle Ring,Burwood,Non Strata,1520.0,1583.0,45.0,2018-12-31
9192,Greater Sydney,Middle Ring,Burwood,Strata,865.0,850.0,66.0,2018-12-31
9194,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1752.0,1916.0,78.0,2018-12-31
9195,Greater Sydney,Middle Ring,Canada Bay,Strata,890.0,943.0,189.0,2018-12-31
9197,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,890.0,939.0,441.0,2018-12-31
9198,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,530.0,542.0,276.0,2018-12-31
