,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
61,Ku-Ring-Gai,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Other,650.0,35.0,606.0,Strata
62,Ku-Ring-Gai,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,662.5,20.0,201.0,Strata
63,Ku-Ring-Gai,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,600.0,512.0,3628.0,Strata
64,Parramatta,1240.0,1272.0,224.0,2018-03-31,Greater Sydney,Middle Ring,House,550.0,514.0,4777.0,Non Strata
65,Parramatta,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Other,470.0,235.0,3717.0,Strata
66,Parramatta,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,560.0,304.0,2529.0,Strata
67,Parramatta,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,500.0,2415.0,19349.0,Strata
68,Ryde,1775.0,1851.0,105.0,2018-03-31,Greater Sydney,Middle Ring,House,670.0,271.0,2350.0,Non Strata
69,Ryde,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Other,520.0,97.0,1271.0,Strata
70,Ryde,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,630.0,146.0,1358.0,Strata
71,Ryde,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,500.0,1392.0,9195.0,Strata
72,Strathfield,2520.0,2468.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,680.0,68.0,588.0,Non Strata
73,Strathfield,630.0,650.0,90.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,98.0,784.0,Strata
74,Strathfield,630.0,650.0,90.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,610.0,20.0,223.0,Strata
75,Strathfield,630.0,650.0,90.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,520.0,489.0,3784.0,Strata
76,Willoughby,2450.0,2602.0,95.0,2018-03-31,Greater Sydney,Middle Ring,House,995.0,159.0,1462.0,Non Strata
77,Willoughby,995.0,1058.0,95.0,2018-03-31,Greater Sydney,Middle Ring,Other,640.0,20.0,711.0,Strata
78,Willoughby,995.0,1058.0,95.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,850.0,47.0,596.0,Strata
79,Willoughby,995.0,1058.0,95.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,580.0,819.0,5964.0,Strata
80,Blacktown,755.0,773.0,733.0,2018-03-31,Greater Sydney,Outer Ring,House,480.0,1747.0,16298.0,Non Strata
81,Blacktown,590.0,572.0,190.0,2018-03-31,Greater Sydney,Outer Ring,Other,390.0,287.0,3959.0,Strata
82,Blacktown,590.0,572.0,190.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,460.0,236.0,2868.0,Strata
